Wafer Number,Position ,Thickness (A),Index of Refraction,Goodness of Fit
1,left,195,1.4049,0.9974
1,left,195,1.4056,0.99779
1,left,195,1.3958,0.99733
1,center,195,1.529,0.99639
1,center,195,1.527,0.9965
1,center,195,1.5408,0.99718
1,right,195,1.9354,0.99668
1,right,195,1.4382,0.99585
1,right,195,1.4382,0.99888
2,left,195,0.9664,0.9946
2,left,138,1.0367,0.99825
2,left,167,1.0281,0.99822
2,center,195,1.0136,0.99746
2,center,12,0.9587,0.99912
2,center,124,1.0515,0.9977
2,right,195,0.9645,0.99868
2,right,19,0.9639,0.99816
2,right,176,0.9682,0.99868
3,left,195,1.8176,0.98301
3,left,195,1.8219,0.98002
3,left,195,1.8276,0.98155
3,center,195,1.6384,0.98783
3,center,195,1.6553,0.98625
3,center,195,1.6553,0.98692
3,right,100,1.6553,0.99703
3,right,113,1.6553,0.99622
3,right,110,1.6408,0.99757